time: 2026-05-09 13:50:09,362 | name: CHUNKER | level: INFO | message: Processing complete: 6 chunks for https://quotes.toscrape.com/author/Andre-Gide
time: 2026-05-09 13:50:09,856 | name: INGEST_PIPELINE | level: INFO | message: Chunks saved to DB for page: https://quotes.toscrape.com/author/Andre-Gide, chunks_count=6
time: 2026-05-09 13:50:09,918 | name: CHUNKER | level: INFO | message: Processing record: https://quotes.toscrape.com/author/Marilyn-Monroe
time: 2026-05-09 13:50:09,918 | name: CHUNK_PLANNER | level: DEBUG | message: Could not classify page, using default: https://quotes.toscrape.com/author/Marilyn-Monroe
time: 2026-05-09 13:50:09,918 | name: CHUNK_PLANNER | level: INFO | message: Heuristic inconclusive, using LLM planner: https://quotes.toscrape.com/author/Marilyn-Monroe
time: 2026-05-09 13:50:09,918 | name: CHUNK_PLANNER | level: INFO | message: Using LLM planner for: https://quotes.toscrape.com/author/Marilyn-Monroe
time: 2026-05-09 13:50:10,891 | name: CHUNK_PLANNER | level: DEBUG | message: LLM plan: type=blog style=semantic_flow words=300
time: 2026-05-09 13:50:10,891 | name: CHUNKER | level: DEBUG | message: Chunk prompt built with 3 modifiers for type=blog
time: 2026-05-09 13:50:10,891 | name: CHUNKER | level: DEBUG | message: Calling LLM chunker for content sample
time: 2026-05-09 13:50:26,679 | name: CHUNKER | level: DEBUG | message: LLM returned 9 chunks
time: 2026-05-09 13:50:26,679 | name: CHUNKER | level: DEBUG | message: LLM returned 9 chunks for https://quotes.toscrape.com/author/Marilyn-Monroe
time: 2026-05-09 13:50:26,680 | name: CHUNKER | level: INFO | message: Validation complete: 9 valid, 0 removed
time: 2026-05-09 13:50:26,680 | name: CHUNKER | level: INFO | message: Processing complete: 9 chunks for https://quotes.toscrape.com/author/Marilyn-Monroe
time: 2026-05-09 13:50:27,320 | name: INGEST_PIPELINE | level: INFO | message: Chunks saved to DB for page: https://quotes.toscrape.com/author/Marilyn-Monroe, chunks_count=9
time: 2026-05-09 13:50:27,386 | name: CHUNKER | level: INFO | message: Processing record: https://quotes.toscrape.com/author/Albert-Einstein
time: 2026-05-09 13:50:27,386 | name: CHUNK_PLANNER | level: DEBUG | message: Could not classify page, using default: https://quotes.toscrape.com/author/Albert-Einstein
time: 2026-05-09 13:50:27,387 | name: CHUNK_PLANNER | level: INFO | message: Heuristic inconclusive, using LLM planner: https://quotes.toscrape.com/author/Albert-Einstein
time: 2026-05-09 13:50:27,387 | name: CHUNK_PLANNER | level: INFO | message: Using LLM planner for: https://quotes.toscrape.com/author/Albert-Einstein
time: 2026-05-09 13:50:28,386 | name: CHUNK_PLANNER | level: DEBUG | message: LLM plan: type=blog style=semantic_flow words=300
time: 2026-05-09 13:50:28,386 | name: CHUNKER | level: DEBUG | message: Chunk prompt built with 3 modifiers for type=blog
time: 2026-05-09 13:50:28,386 | name: CHUNKER | level: DEBUG | message: Calling LLM chunker for content sample
time: 2026-05-09 13:50:46,946 | name: CHUNKER | level: DEBUG | message: LLM returned 10 chunks
time: 2026-05-09 13:50:46,948 | name: CHUNKER | level: DEBUG | message: LLM returned 10 chunks for https://quotes.toscrape.com/author/Albert-Einstein
time: 2026-05-09 13:50:46,948 | name: CHUNKER | level: INFO | message: Validation complete: 10 valid, 0 removed
time: 2026-05-09 13:50:46,948 | name: CHUNKER | level: INFO | message: Processing complete: 10 chunks for https://quotes.toscrape.com/author/Albert-Einstein
time: 2026-05-09 13:50:47,533 | name: INGEST_PIPELINE | level: INFO | message: Chunks saved to DB for page: https://quotes.toscrape.com/author/Albert-Einstein, chunks_count=10
time: 2026-05-09 13:50:47,591 | name: CHUNKER | level: INFO | message: Processing record: https://quotes.toscrape.com/author/J-K-Rowling
time: 2026-05-09 13:50:47,591 | name: CHUNK_PLANNER | level: DEBUG | message: Could not classify page, using default: https://quotes.toscrape.com/author/J-K-Rowling
time: 2026-05-09 13:50:47,591 | name: CHUNK_PLANNER | level: INFO | message: Heuristic inconclusive, using LLM planner: https://quotes.toscrape.com/author/J-K-Rowling
time: 2026-05-09 13:50:47,591 | name: CHUNK_PLANNER | level: INFO | message: Using LLM planner for: https://quotes.toscrape.com/author/J-K-Rowling
time: 2026-05-09 13:50:48,640 | name: CHUNK_PLANNER | level: DEBUG | message: LLM plan: type=blog style=semantic_flow words=300
time: 2026-05-09 13:50:48,640 | name: CHUNKER | level: DEBUG | message: Chunk prompt built with 3 modifiers for type=blog
time: 2026-05-09 13:50:48,640 | name: CHUNKER | level: DEBUG | message: Calling LLM chunker for content sample
time: 2026-05-09 13:50:59,865 | name: CHUNKER | level: DEBUG | message: LLM returned 5 chunks
time: 2026-05-09 13:50:59,865 | name: CHUNKER | level: DEBUG | message: LLM returned 5 chunks for https://quotes.toscrape.com/author/J-K-Rowling
time: 2026-05-09 13:50:59,865 | name: CHUNKER | level: INFO | message: Validation complete: 5 valid, 0 removed
time: 2026-05-09 13:50:59,865 | name: CHUNKER | level: INFO | message: Processing complete: 5 chunks for https://quotes.toscrape.com/author/J-K-Rowling
time: 2026-05-09 13:51:00,439 | name: INGEST_PIPELINE | level: INFO | message: Chunks saved to DB for page: https://quotes.toscrape.com/author/J-K-Rowling, chunks_count=5
time: 2026-05-09 13:51:00,504 | name: CHUNKER | level: INFO | message: Processing record: https://quotes.toscrape.com/tag/inspirational/page/1/
time: 2026-05-09 13:51:00,505 | name: CHUNK_PLANNER | level: DEBUG | message: Could not classify page, using default: https://quotes.toscrape.com/tag/inspirational/page/1/
time: 2026-05-09 13:51:00,505 | name: CHUNK_PLANNER | level: INFO | message: Heuristic inconclusive, using LLM planner: https://quotes.toscrape.com/tag/inspirational/page/1/
time: 2026-05-09 13:51:00,505 | name: CHUNK_PLANNER | level: INFO | message: Using LLM planner for: https://quotes.toscrape.com/tag/inspirational/page/1/
time: 2026-05-09 13:51:01,478 | name: CHUNK_PLANNER | level: DEBUG | message: LLM plan: type=blog style=semantic_flow words=300
time: 2026-05-09 13:51:01,478 | name: CHUNKER | level: DEBUG | message: Chunk prompt built with 3 modifiers for type=blog
time: 2026-05-09 13:51:01,478 | name: CHUNKER | level: DEBUG | message: Calling LLM chunker for content sample
time: 2026-05-09 13:51:04,963 | name: CHUNKER | level: DEBUG | message: LLM returned 3 chunks
time: 2026-05-09 13:51:04,963 | name: CHUNKER | level: DEBUG | message: LLM returned 3 chunks for https://quotes.toscrape.com/tag/inspirational/page/1/
time: 2026-05-09 13:51:04,963 | name: CHUNKER | level: INFO | message: Validation complete: 3 valid, 0 removed
time: 2026-05-09 13:51:04,963 | name: CHUNKER | level: INFO | message: Processing complete: 3 chunks for https://quotes.toscrape.com/tag/inspirational/page/1/
time: 2026-05-09 13:51:05,141 | name: INGEST_PIPELINE | level: INFO | message: Chunks saved to DB for page: https://quotes.toscrape.com/tag/inspirational/page/1/, chunks_count=3
